competencia,ipca_mensal,fator,indice_acum,deflator
2023-05,0.23,1.0023,1.3557016131746191,1.0652960063564991
2023-06,-0.08,0.9992,1.3546170518840797,1.066148925496897
2023-07,0.12,1.0012,1.3562425923463406,1.0648710802006562
2023-08,0.23,1.0023,1.3593619503087373,1.0624274969576537
2023-09,0.26,1.0026,1.36289629137954,1.059672348850642
2023-10,0.24,1.0024,1.366167242478851,1.0571352243122925
2023-11,0.28,1.0028,1.3699925107577913,1.0541835104829405
2023-12,0.56,1.0056,1.377664468818035,1.048312957918596
2024-01,0.42,1.0042,1.3834506595870708,1.043928458393344
2024-02,0.83,1.0083,1.3949333000616435,1.0353351764289835
2024-03,0.16,1.0016,1.3971651933417422,1.0336812863707905
2024-04,0.38,1.0038,1.4024744210764408,1.0297681673349175
2024-05,0.46,1.0046,1.4089258034133922,1.0250529238850463
2024-06,0.21,1.0021,1.4118845476005604,1.0229048237551606
2024-07,0.38,1.0038,1.4172497088814426,1.0190325002541945
2024-08,-0.02,0.9998,1.4169662589396663,1.0192363475236994
2024-09,0.44,1.0044,1.4232009104790009,1.014771353568
2024-10,0.56,1.0056,1.431170835577683,1.00912028
2024-11,0.39,1.0039,1.4367524018364364,1.0052
2024-12,0.52,1.0052,1.4442235143259858,1
2025-01,0.16,1.0016,1.4465342719489076,0.998402555910543
2025-02,1.31,1.0131,1.4654838709114384,0.9854926028136836
2025-03,0.56,1.0056,1.4736905805885423,0.9800045771814674
2025-04,0.43,1.0043,1.4800274500850732,0.9758086002006048
2025-05,0.36,1.0036,1.4853555489053796,0.9723082903553256
2025-06,0.28,1.0028,1.4895145444423146,0.969593428754812
2025-07,0.32,1.0032,1.49428099098453,0.9665006267492148
2025-08,0.18,1.0018,1.4969706967683023,0.9647640514565928
2025-09,0.25,1.0025,1.500713123510223,0.9623581560664268
